"","LHS","RHS","support","confidence","coverage","lift","count"
"1","{range}","{ev}",0.0235042735042735,0.88,0.0267094017094017,2.20825737265416,22
"2","{range}","{electric}",0.0213675213675214,0.8,0.0267094017094017,1.43173996175908,20
"3","{times}","{power}",0.0213675213675214,0.869565217391304,0.0245726495726496,3.91304347826087,20
"4","{times}","{cars}",0.0213675213675214,0.869565217391304,0.0245726495726496,1.78489702517162,20
"5","{times}","{electric}",0.0235042735042735,0.956521739130435,0.0245726495726496,1.71186299775542,22
"6","{charge}","{cars}",0.0245726495726496,0.92,0.0267094017094017,1.88842105263158,23
"7","{charge}","{electric}",0.0245726495726496,0.92,0.0267094017094017,1.64650095602294,23
"8","{today}","{ev}",0.0213675213675214,0.833333333333333,0.0256410256410256,2.0911528150134,20
"9","{lcid}","{ev}",0.0277777777777778,0.962962962962963,0.0288461538461538,2.41644325290438,26
"10","{lithium}","{ev}",0.0213675213675214,0.833333333333333,0.0256410256410256,2.0911528150134,20
"11","{tsla}","{ev}",0.0277777777777778,0.896551724137931,0.030982905982906,2.24979199408339,26
"12","{stations}","{charging}",0.0235042735042735,0.916666666666667,0.0256410256410256,13,22
"13","{can’t}","{solar}",0.0213675213675214,0.689655172413793,0.030982905982906,9.35532233883058,20
"14","{vehicle}","{ev}",0.0373931623931624,0.921052631578947,0.0405982905982906,2.31127416396218,35
"15","{vehicle}","{electric}",0.0363247863247863,0.894736842105263,0.0405982905982906,1.60128811512529,34
"16","{equipment}","{panels}",0.0224358974358974,0.65625,0.0341880341880342,17.0625,21
"17","{panels}","{equipment}",0.0224358974358974,0.583333333333333,0.0384615384615385,17.0625,21
"18","{equipment}","{solar}",0.0224358974358974,0.65625,0.0341880341880342,8.90217391304348,21
"19","{equipment}","{use}",0.0213675213675214,0.625,0.0341880341880342,3.21428571428571,20
"20","{make}","{electric}",0.0224358974358974,0.617647058823529,0.0363247863247863,1.10538747047576,21
"21","{needs}","{electric}",0.0235042735042735,0.6875,0.0341880341880342,1.23040152963671,22
"22","{electricity}","{cars}",0.0256410256410256,0.666666666666667,0.0384615384615385,1.36842105263158,24
"23","{electricity}","{electric}",0.0277777777777778,0.722222222222222,0.0384615384615385,1.2925430210325,26
"24","{time}","{ev}",0.0224358974358974,0.552631578947368,0.0405982905982906,1.38676449837731,21
"25","{panels}","{solar}",0.0373931623931624,0.972222222222222,0.0384615384615385,13.1884057971014,35
"26","{solar}","{panels}",0.0373931623931624,0.507246376811594,0.0737179487179487,13.1884057971014,35
"27","{panels}","{use}",0.0224358974358974,0.583333333333333,0.0384615384615385,3,21
"28","{panels}","{electric}",0.0245726495726496,0.638888888888889,0.0384615384615385,1.1434034416826,23
"29","{evs}","{ev}",0.0341880341880342,0.888888888888889,0.0384615384615385,2.23056300268097,32
"30","{batteries}","{cars}",0.0245726495726496,0.522727272727273,0.047008547008547,1.07296650717703,23
"31","{batteries}","{electric}",0.0277777777777778,0.590909090909091,0.047008547008547,1.05753519902659,26
"32","{one}","{cars}",0.0224358974358974,0.525,0.0427350427350427,1.07763157894737,21
"33","{one}","{electric}",0.0224358974358974,0.525,0.0427350427350427,0.939579349904398,21
"34","{battery}","{ev}",0.0331196581196581,0.794871794871795,0.0416666666666667,1.99463806970509,31
"35","{need}","{cars}",0.0288461538461538,0.58695652173913,0.0491452991452991,1.20480549199085,27
"36","{need}","{electric}",0.0331196581196581,0.673913043478261,0.0491452991452991,1.20608529387314,31
"37","{get}","{cars}",0.0267094017094017,0.625,0.0427350427350427,1.28289473684211,25
"38","{get}","{electric}",0.0277777777777778,0.65,0.0427350427350427,1.16328871892925,26
"39","{electricvehicles}","{ev}",0.0491452991452991,0.884615384615385,0.0555555555555556,2.21983914209115,46
"40","{via}","{ev}",0.032051282051282,0.517241379310345,0.061965811965812,1.29795691966349,30
"41","{via}","{electric}",0.0384615384615385,0.620689655172414,0.061965811965812,1.11083272895101,36
"42","{like}","{electric}",0.0245726495726496,0.547619047619048,0.0448717948717949,0.980060092870801,23
"43","{gas}","{cars}",0.0427350427350427,0.816326530612245,0.0523504273504274,1.67561761546724,40
"44","{gas}","{electric}",0.0448717948717949,0.857142857142857,0.0523504273504274,1.53400710188473,42
"45","{us}","{cars}",0.0277777777777778,0.52,0.0534188034188034,1.06736842105263,26
"46","{us}","{electric}",0.0341880341880342,0.64,0.0534188034188034,1.14539196940727,32
"47","{tesla}","{ev}",0.0448717948717949,0.711864406779661,0.063034188034188,1.78634070977416,42
"48","{car}","{electric}",0.0341880341880342,0.64,0.0534188034188034,1.14539196940727,32
"49","{vehicles}","{electric}",0.0427350427350427,0.740740740740741,0.0576923076923077,1.32568514977693,40
"50","{people}","{cars}",0.0416666666666667,0.709090909090909,0.0587606837606838,1.4555023923445,39
"51","{people}","{electric}",0.0480769230769231,0.818181818181818,0.0587606837606838,1.46427950634452,45
"52","{environment}","{ev}",0.0491452991452991,0.696969696969697,0.0705128205128205,1.74896417255667,46
"53","{charging}","{ev}",0.047008547008547,0.666666666666667,0.0705128205128205,1.67292225201072,44
"54","{charging}","{electric}",0.0373931623931624,0.53030303030303,0.0705128205128205,0.949070050408482,35
"55","{solar}","{electric}",0.0405982905982906,0.550724637681159,0.0737179487179487,0.98561808961676,38
"56","{amp}","{ev}",0.0331196581196581,0.508196721311475,0.0651709401709402,1.27526040522129,31
"57","{new}","{cars}",0.0427350427350427,0.533333333333333,0.0801282051282051,1.09473684210526,40
"58","{new}","{electric}",0.047008547008547,0.586666666666667,0.0801282051282051,1.04994263862333,44
"59","{gear}","{slowing}",0.158119658119658,1,0.158119658119658,6.28187919463087,148
"60","{slowing}","{gear}",0.158119658119658,0.993288590604027,0.159188034188034,6.28187919463087,148
"61","{gear}","{old}",0.158119658119658,1,0.158119658119658,5.74233128834356,148
"62","{old}","{gear}",0.158119658119658,0.907975460122699,0.174145299145299,5.74233128834356,148
"63","{gear}","{clean}",0.157051282051282,0.993243243243243,0.158119658119658,5.5669202136268,147
"64","{clean}","{gear}",0.157051282051282,0.880239520958084,0.178418803418803,5.5669202136268,147
