"","LHS","RHS","support","confidence","coverage","lift","count"
"16","{equipment}","{panels}",0.0224358974358974,0.65625,0.0341880341880342,17.0625,21
"17","{panels}","{equipment}",0.0224358974358974,0.583333333333333,0.0384615384615385,17.0625,21
"25","{panels}","{solar}",0.0373931623931624,0.972222222222222,0.0384615384615385,13.1884057971014,35
"26","{solar}","{panels}",0.0373931623931624,0.507246376811594,0.0737179487179487,13.1884057971014,35
"12","{stations}","{charging}",0.0235042735042735,0.916666666666667,0.0256410256410256,13,22
"13","{can’t}","{solar}",0.0213675213675214,0.689655172413793,0.030982905982906,9.35532233883058,20
"18","{equipment}","{solar}",0.0224358974358974,0.65625,0.0341880341880342,8.90217391304348,21
"59","{gear}","{slowing}",0.158119658119658,1,0.158119658119658,6.28187919463087,148
"60","{slowing}","{gear}",0.158119658119658,0.993288590604027,0.159188034188034,6.28187919463087,148
"61","{gear}","{old}",0.158119658119658,1,0.158119658119658,5.74233128834356,148
"62","{old}","{gear}",0.158119658119658,0.907975460122699,0.174145299145299,5.74233128834356,148
"73","{slowing}","{old}",0.158119658119658,0.993288590604027,0.159188034188034,5.70379215218018,148
"74","{old}","{slowing}",0.158119658119658,0.907975460122699,0.174145299145299,5.70379215218018,148
"64","{clean}","{gear}",0.157051282051282,0.880239520958084,0.178418803418803,5.5669202136268,147
"63","{gear}","{clean}",0.157051282051282,0.993243243243243,0.158119658119658,5.5669202136268,147
